art,de,en
der,Speicher,memory 
der,Anfänger,beginner 
das,Bedürfnis,need 
die,Wendung,phrase 
die,Grundlage,basis 
die,Grundlagen,fundamental principles 
das,Niveau,level 
der,Zweifel,doubt 
die,Beziehung,relationship 
der,Draht,wire 
der,Verstoß,violation 
das,Völkerrecht,international law 
das,Lob,praise 
der,Übergang,transition 
die,Einhaltung,observance 
der,Nachdruck,emphasis 
der,Nachdruck,reprint 
das,Unrecht,wrong 
die,Pflicht,duty 
der,Ausbruch,outbreak 
das,Schweigen,silence 
die,Geschlossenheit,unity 
das,Lager,camp 
die,Strafmaßnahme,sanction 
der,Bezug,reference 
die,Wahrnehmung,perception 
die,Lesart,version 
die,Vernunft,reason 
die,Anzeige,advertisement 
die,Ratlosigkeit,helplessness 
die,Einigkeit,unity 
die,Sorge,concern 
das,Unbehagen,discontent 
die,Einsetzung,establishment 
der,Streit,dispute 
der,Vertreter,representative 
die,Sperrung,blocking 
die,Abschaffung,abolition 
die,Beschränkung,restriction 
der,Geschäftsführer,managing director 
das,Erzeugnis,product 
das,Wohl,welfare 
der,Korb,basket 
die,Ausfuhr,export 
die,Volkswirtschaft,economics 
der,Überblick,overview 
das,Erdgas,natural gas 
das,Jahrzehnt,decade 
die,Umgehung,avoidance 
die,Entspannung,relaxation 
der,Atem,breath 
die,Empörung,outrage 
der,Überschuss,surplus 
das,Ungleichgewicht,imbalance 
die,Nachfrage,demand 
die,Notwendigkeit,need 
die,Größe,size 
das,Handeln,action 
das,Gleichgewicht,balance 
die,Schuld,debt 
das,Bußgeld,fine 
die,Aufregung,excitement 
das,Eingeständnis,admission 
die,Voraussetzung,requirement 
der,Hüter,guardian 
der,Wahlkampf,election campaign 
der,Blick,view 
die,Wahl,election 
der,Rat,council 
der,Rat,advice 
das,Guthaben,credit 
die,Absage,cancellation; rejection 
die,Zugehörigkeit,membership 
der,Nachmittag,afternoon 
die,Notlage,emergency 
die,Absetzung,deposition 
die,Anlehnung,following 
der,Ausspruch,remark; quotation
die,Einschüchterung,intimidation 
die,Versorgung,supply 
die,Leitung,cable 
die,Beratung,advice 
das,Vorkommen,deposit 
die,Vorkommen,resources 
die,Sicht,view 
der,Rohstoff,raw material 
die,Volksabstimmung,plebiscite 
die,Unterstützung,support 
die,Überraschung,surprise 
die,Zustimmung,approval 
die,Anerkennung,recognition 
der,Beitritt,accession 
der,Gegner,opponent 
der,Gegenschlag,reaction 
die,Fähigkeit,ability 
der,Flächenbrand,wildfire 
die,Fahne,flag 
die,Hochburg,stronghold 
der,Widerstand,resistance 
die,Stellung,position 
der,Haushalt,budget 
die,Einnahme,revenue 
der,Stachel,sting 
der,Zwischenfall,incident 
die,Fluggesellschaft,airline 
der,Notruf,emergency call 
das,Zeichen,sign 
das,Schicksal,fate 
das,Urteil,verdict 
die,Gemeinsamkeit,similarity 
die,Anforderung,requirement 
die,Zulässigkeit,legality; legitimacy 
der,Zuschuss,grant 
die,Fernstraße,highway 
die,Armut,poverty 
die,Verzögerung,delay 
die,Sanierung,renovation 
die,Instandhaltung,maintenance 
der,Zusatz,addition 
der,Betrag,amount 
die,Zuspitzung,escalation 
der,Nörgler,grumbler; complainer 
das,Dutzend,dozen 
der,Vorbehalt,provision 
die,Angliederung,affiliation 
der,Zugang,access 
der,Treibstoff,fuel 
die,Bedingung,condition 
der,Graben,rift 
der,Aufwand,expenditure 
das,Schild,sign 
das,Verhalten,behavior 
der,Ministerpräsident,Prime Minister 
die,Behauptung,statement 
der,Auftrag,order 
der,Verbraucher,consumer 
der,Schub,thrust 
der,Betreiber,operator 
die,Stellungnahme,opinion 
die,Frist,period 
die,Behandlung,treatment 
die,Eigenständigkeit,independence 
der,Drang,urge 
das,Beisein,presence 
die,Übereinstimmung,accordance 
die,Einrichtung,installation; facility 
die,Trümmer,debris 
die,Notenbank,central bank 
die,Offenbarung,revelation 
der,Auftakt,prelude 
der,Sünder,sinner 
die,Verfolgung,persecution 
die,Ehrlichkeit,honesty 
der,Gewinn,profit 
der,Zocker,gambler
die,Devisen,foreign exchange 
der,Händler,dealer 
der,Auszug,summary 
der,Beleg,document; evidence 
der,Ordner,folder 
der,Anschein,appearance 
die,Flut,flood 
der,Staatsanwalt,public prosecutor 
die,Verhandlung,negotiation 
der,Vermerk,note 
die,Umfrage,survey 
die,Erleichterung,relief 
die,Einmischung,interference 
die,Erhebung,survey 
die,Geltung,worth 
der,Zusammenhalt,cohesion 
der,Versuch,attempt 
die,Festnahme,arrest 
der,Herd,epicenter 
der,Schlüssel,key 
der,Angestellte/ein,employee 
die,Angestellte,staff 
die,Gabel,fork 
der,Lohn,salary 
der,Nachteil,drawback 
der,Wettbewerb,competition 
der,Verdienst,earnings 
das,Verdienst,merit 
der,Wert,value 
der,Durchschnitt,average 
die,Steigerung,increase 
der,Sohn,son 
der,Sprössling,offspring 
die,Wende,turn 
der,Faden,string; thread 
die,Bürgschaft,guarantee 
der,Ausgangspunkt,starting point 
das,Aufsehen,sensation 
der,Krimi,thriller 
die,Aussicht,chance 
der,Glücksritter,adventurer 
die,Schätzung,estimate 
die,Seltenheit,rarity 
die,Schwankung,fluctuation 
die,Seligkeit,happiness; bliss 
der,Ausgang,outcome 
der,Fehlschlag,failure 
die,Bilanz,balance 
die,Waage,scale 
die,Sucht,addiction 
die,Straftat,criminal offense 
das,Delikt,crime 
die,Hinsicht,way 
die,Aufsicht,supervision 
das,Schwarzgeld,illegal earnings 
der,Täter,offender 
das,Bewusstsein,awareness 
der,Vorort,suburb 
der,Steuerhinterzieher,tax evader 
der,Wandel,change 
der,Ankauf,purchase 
der,Koffer,suitcase 
die,Reue,repentance 
die,Glaubwürdigkeit,credibility 
das,Strafmaß,sentence 
die,Niederlage,defeat 
die,Kippe,tip 
das,Vorgehen,action 
die,Haltung,attitude 
die,Art,sort 
die,Zusage,commitment 
der,Ausdruck,expression 
das,Feld,field 
die,Mannschaft,team 
die,Stimmung,mood 
das,Gemüt,mind 
der,Osten,east 
das,Gerücht,rumor 
die,Entführung,abduction 
die,Absicht,intention 
die,Luftfahrt,aviation 
der,Hubschrauber,helicopter 
die,Ablehnung,rejection 
der,Rand,edge 
das,Achtel,eighth 
die,Kundgebung,demonstration 
die,Verschmutzung,pollution 
der,Sonnabend,Saturday 
die,Liebe,love 
das,Denkmal,monument 
der,Dichter,poet 
der,Zusammenstoß,clash 
das,Todesopfer,casualty 
der,Müll,garbage 
die,Ausschreitung,riot 
der,Kämpfer,fighter 
die,Erkenntnis,knowldege 
das,Erkenntnis,finding 
die,Sackgasse,impasse 
der,Verlauf,course 
die,Rücksicht,consideration 
die,Tatsache,fact 
die,Streitkräfte,armed forces 
die,Weise,way 
der,Weise/ein,wise man 
die,Überzeugung,conviction 
der,Fremdenverkehr,tourism 
die,Ortschaft,village 
der,Zweig,branch 
der,Besitzer,owner 
der,Besitz,ownership 
der,Verband,association 
das,Festland,mainland 
das,Misstrauen,distrust 
die,Herrschaft,rule 
die,Pacht,lease 
die,Unterkunft,accomodation 
die,Landwirtschaft,agriculture 
der,Weizen,wheat 
der,Mais,corn 
das,Kraftwerk,power station 
die,Güter,goods 
die,Knappheit,scarcity 
der,Muskel,muscle 
der,Appell,appeal 
der,Schatten,shadow 
das,Anzeichen,sign 
die,Gewerkschaft,trade union 
der,Vorwurf,reproach; accusation 
der,Eindruck,impression 
die,Auswahl,selection 
die,Gesellschaft,society 
der,Staub,dust 
der,Witz,joke 
die,Ausnahme,exception 
der,Rückzug,withdrawal 
der,Glauben,belief 
der,Glaube,belief 
die,Wählerbefragung,exit poll 
der,Sieg,victory 
die,Verwaltung,administration 
der,Aufbruch,awakening 
der,Redner,speaker 
die,Benachrichtigung,notification 
die,Begeisterung,enthusiasm 
der,Hafen,port 
das,Rohöl,crude oil 
der,Verbund,alliance; network 
der,Anfang,beginning 
das,Votum,vote; decision 
die,Ebene,level 
die,Androhung,threat 
der,Stil,style 
der,Zuspruch,encouragement 
die,Abstimmung,vote 
der,Urknall,Big Bang 
das,Kaninchen,rabbit 
die,Strahlung,radiation 
der,Bruchteil,fraction 
die,Messung,measurement 
der,Nachweis,proof 
der,Hinweis,clue 
das,Weltall,universe; space 
der,Handschuh,glove 
der,Samt,velvet 
der,Spielraum,scope 
die,Atempause,respite 
der,Kern,core 
die,Gebühr,fee 
die,Angehörige,relatives 
das,Entgegenkommen,willingness to cooperate 
die,Einsicht,insight 
die,Bindung,tie 
der,Beschluss,decision 
die,Vorausschau,projection 
die,Nadel,needle 
die,Anweisung,instruction 
das,Zögern,hesitation 
die,Verschleierung,cover-up 
die,Qual,torment 
die,Beschwerde,complaint 
der,Schirm,umbrella 
der,Umfang,scope 
der,Rettungsschirm,rescue fund 
das,Recht,law 
der,Mitschnitt,recording 
das,Telefonat,phone call 
der,Verweis,reference 
die,Bandbreite,bandwidth 
die,Aufklärung,reconnaissance 
der,Vorschlag,proposal 
die,Härte,hardness 
der,Versicherer,insurer 
das,Bündnis,alliance 
die,Erlaubnis,permission 
die,Untreue,infidelity 
der,Schadenersatz,compensation for damages 
die,Gewissheit,certainty 
das,Licht,light 
der,Bogen,arc 
die,Erklärung,declaration 
der,Grundsatz,principle 
die,Abrechnung,revenge 
der,Aufruhr,uproar 
die,Erfahrung,experience 
die,Wut,rage 
die,Entlassung,dismissal 
der,Tropfen,drop 
der,Stein,stone 
das,Ereignis,event 
der,Unterhändler,negotiator; mediator
die,Abwicklung,completion 
der,Pfeiler,pillar 
das,Bankguthaben,bank deposit 
die,Pleite,bankruptcy 
der,Sparer,depositor 
der,Binnenmarkt,internal market 
die,Schaffung,creation 
der,Anstoß,impetus 
der,Kopf,head 
der,Einspruch,objection 
der,Verbrecher,criminal 
das,Flugblatt,leaflet 
das,Aufgebot,contingent 
der,Randalierer,rioter; hooligan 
das,Anwesen,estate 
das,Becken,pool 
der,Ursprung,origin 
das,Netzwerk,network 
die,Vorwarnung,advance warning 
die,Anstrengung,effort 
der,Ärger,trouble 
das,Vermögen,fortune 
die,Wahrheit,truth 
der,Schrebergarten,allotment 
das,Grundstück,plot of land 
der,Verein,society 
das,Geflecht,network 
der,Spaß,fun 
die,Wirkung,effect 
die,Bestrafung,punishment 
die,Talfahrt,descent 
die,Aussichten,prospects 
die,Verpflichtungen,liabilities 
die,Einschätzung,assessment 
die,Kreditwürdigkeit,creditworthiness 
der,Zorn,anger 
die,Satzung,statute 
der,Beitrag,contribution 
die,Versammlung,assembly 
der,Leiter,leader 
die,Feststellung,establishment 
der,Vorstand,board 
der,Zugriff,access
die,Enthüllung,revelation 
das,Zeitalter,age 
das,Ausmaß,extent 
der,Dieb,thief 
die,Belegschaft,staff 
das,Ding,thing 
das,Geschlecht,gender 
der,Wessi,Westerner 
der,Rechtsanwalt,lawyer 
die,Kanzlei,office 
die,Bewerbung,application 
die,Stellenanzeige,job advertisement 
der,Einsteiger,beginner 
die,Entschädigung,compensation 
die,Masche,trick 
der,Entzug,withdrawal 
die,Befindlichkeiten,sensitivities 
der,Austragungsort,venue 
die,Vorsicht,caution 
das,Gedenken,commemoration 
das,Rathaus,town hall 
der,Umbau,modification; conversion 
die,Umbildung,reshuffle 
der,Amtsinhaber,incumbent 
die,Ausrichtung,orientation 
der,Vorsprung,lead 
das,Rennen,race 
das,Gefecht,battle 
der,Rechtsruck,shift to the right 
das,Trostpflaster,consolation 
die,Gunst,favor 
der,Arbeitnehmer,employee 
die,Beurteilung,assessment 
die,Errungenschaft,achievement 
der,Austritt,exit 
die,Veranstaltung,event 
die,Aufmerksamkeit,attention 
die,Schwelle,threshold 
der,Wirbel,vortex; fuss 
der,Routinier,veteran 
die,Mäßigung,moderation 
die,Regelung,control 
die,Äußerung,statement 
der,Mund,mouth 
die,Bedeutung,importance 
die,Förderung,production 
die,Ausbildung,training 
die,Beschaffung,procurement 
die,Sichtbarkeit,visibility 
der,Vordergrund,foreground 
die,Entschlossenheit,determination 
die,Verstärkung,reinforcement 
die,Stärke,force 
das,Geschütz,gun 
die,Verlagerung,transfer; relocation 
der,Abzug,withdrawal 
der,Bericht,report 
die,Reihe,series 
der,Anlass,reason 
die,Schießerei,shooting 
die,Entwaffnung,disarmament 
der,Entschluss,decision 
das,veraltend,salary 
die,Bezüge,earnings 
die,Laufzeit,term 
der,Abschluss,completion 
der,Aufschwung,upturn 
der,Feuerwehrmann,firefighter 
der,Hort,refuge 
die,Fremdenfeindlichkeit,xenophobia 
der,Stamm,root 
der,Gastgeber,host 
die,Friedfertigkeit,peacefulness
die,Zuflucht,refuge 
der,Fremde/ein,foreigner 
die,Steuer,tax 
die,Zuwanderung,immigration 
der,Zeitraum,period of time 
die,Freizügigkeit,freedom of movement 
der,Anschlag,attack 
der,Baum,tree 
das,Umfeld,sphere 
das,Erdbeben,earthquake 
die,Riesenwelle,tsunami 
das,Nachbeben,aftershock 
der,Buchstabe,letter 
die,Anlagen,facilities 
die,Schnellstraße,expressway 
die,Wohnanlage,housing complex 
das,Gelände,site 
das,Loch,hole 
das,Fragezeichen,question mark 
die,Auswertung,analysis 
die,Schulnote,school grade 
die,Leistung,benefit 
der,Zirkel,circle 
die,Anleihe,bond 
die,Einstimmigkeit,unanimity 
der,Gedanke,thought 
der,Zins,interest 
die,Verbraucherpreise,consumer prices 
der,Puffer,buffer 
das,Angebot,supply 
das,Wachstum,growth 
die,Teuerung,inflation 
der,Verfall,decline 
der,Ausblick,outlook 
das,Leihen,borrowing; lending
die,Flaute,recession 
die,Konjunktur,business activity 
die,Blase,bubble 
die,Fälschung,falsification 
der,Botschafter,ambassador 
die,Abhängigkeit,dependence
der,Riese,giant 
der,Verkauf,sale 
die,Jahresfrist,one-year period 
der,Reifen,tyre 
der,Eigner,owner
die,Dachgesellschaft,holding company 
der,Verwaltungsrat,board of directors
das,Geldhaus,financial institution 
der,Anschluss,annexation 
der,Abschnitt,section 
die,Frauenquote,proportion of women
die,Kommunalwahl,local elections 
die,Gleichberechtigung,equal rights 
die,Rente,pension 
das,Vorbild,example 
die,Zunge,tongue 
der,Entwurf,bill 
der,Zündstoff,explosive 
die,Zeile,line 
der,Betracht,consideration 
der,Mittelstand,middle class 
der,Widerspruch,contradiction 
die,Nachbesserung,amendment 
die,Verrentung,retirement 
die,Welle,wave 
die,Anrechnung,allowance 
die,Arbeitslosigkeit,unemployment 
der,Flügel,wing 
die,Beschäftigung,employment 
der,Unmut,resentment 
die,Unzufriedenheit,dissatisfaction 
der,Anspruch,claim 
der,Aufstand,rebellion 
der,Jünger,follower
das,Anliegen,wish 
die,Witwe,widow 
die,Abbitte,apology 
die,Auseinandersetzung,dispute 
der,Erbe,heir 
der,Rechtsstreit,lawsuit 
der,Vergleich,comparison 
die,Staatsanwaltschaft,public prosecutor office 
der,Betrug,fraud 
die,Anklage,accusation 
der,Rücktritt,resignation 
die,Einzelheit,detail 
die,Erholung,recovery 
der,Rückschlag,setback 
das,Bein,leg 
die,Mehrwertsteuer,value added tax <VAT> 
der,Aufsichtsrat,supervisory committee 
die,Berufung,appointment 
das,Gremium,board 
die,Zielsetzung,goal 
der,Dissens,disagreement 
der,Hintergrund,background 
die,Besorgnis,concern 
die,Bestätigung,confirmation 
die,Ansicht,opinion 
der,Untertitel,subtitle 
die,Sendung,program 
die,Öffentlichkeit,public 
die,Folter,torture 
der,Befehl,order 
die,Steuerung,control 
der,Angriff,attack 
der,Begriff,definition; term 
die,Jugendliche,teenagers 
die,Einsparung,saving 
der,Moderator,host 
der,Sender,broadcaster 
der,Schwung,drive 
der,Vorgänger,predecessor 
die,Zusammenstellung,compilation 
der,Schwerpunkt,emphasis 
die,Datei,file 
das,Vertrauen,trust 
die,Konkurrenz,competition 
die,Hochrechnung,projection 
das,Gelingen,success 
der,Völkermord,genocide 
die,Flamme,flame 
die,Verstimmung,resentment 
die,Anschuldigung,allegation 
der,Komplize,accomplice 
die,Stadt,city 
die,Zeitschrift,magazine 
das,Museum,museum 
der,Wagen,car 
die,Heimat,home 
die,Speicherung,storage 
der,Stock,floor 
der,Paukenschlag,bombshell 
der,Bleistift,pencil 
der,Anzug,suit 
das,Lied,song 
die,Unruhe,unrest 
das,Stück,piece 
die,Steinkohle,coal
die,Siedlung,settlement 
der,Bergarbeiter,miner 
der,Bergbau,mining 
das,Revier,district 
die,U-Bahn,metro 
der,Vermittler,intermediary 
die,Wiederaufnahme,resumption 
der,Abschuss,launch 
die,Änderung,change 
das,Grundgesetz,constitution 
die,Lücke,gap 
die,Meldung,report 
der,US-Bundesstaat,U.S. state 
der,Wachmann,guard 
der,Zustand,condition 
das,Messer,knife 
der,Unterleib,abdomen 
die,Schwere,severity 
die,Verletzung,injury 
das,Muster,pattern 
die,Schnittwunde,cut 
die,Saison,season 
die,Station,station 
das,Jahr,year 
der,Fallschirm,parachute 
der,Fallschirmjäger,paratrooper 
das,Zelt,tent 
die,Ausrüstung,equipment 
die,Landebahn,runway 
die,Gegend,country 
die,Kriegsmarine,navy 
der,Nachbar,neighbour 
der,Berg,mountain 
die,Antwort,reply 
der,Verkäufer,seller 
der,Kaffee,coffee 
das,Vorhandensein,presence; availability
die,Neige,decline 
das,Verschwinden,disappearance
die,Geschwindigkeit,speed 
die,Höhe,height 
die,Kiste,box 
der,Vorwand,pretext 
die,Strömung,movement 
der,Übergriff,attack 
der,Fluss,river 
die,Firma,company 
die,Räumung,clearance 
die,Gnade,mercy 
die,Barrikade,barricade 
das,Ultimatum,ultimatum 
der,Engpass,bottleneck 
der,Brief,letter 
das,Schreiben,letter 
die,Vorkasse,prepayment 
das,Szenario,scenario 
der,Vertrag,contract 
die,Überlegung,consideration 
der,Griff,grasp 
die,Universität,university 
der,Rettungsfonds,rescue fund 
das,Büro,office 
der,Ort,place 
der,Durchbruch,breakthrough 
der,Konflikt,conflict 
die,Schwierigkeit,difficulty 
die,Aufhebung,repeal 
die,Begrenzung,limit 
der,Streitpunkt,issue 
die,Anreicherung,enrichment 
der,Typ,type 
die,Zahl,number 
der,Sprengstoff,explosive 
die,Initiative,initiative 
die,Geschichte,history 
das,Maschinengewehr,machine-gun 
die,Aufwiegelung,sedition 
die,Wirren,confusion; turmoil 
die,Chance,opportunity 
die,Straffung,tightening 
das,Tor,gate 
der,Zügel,rein 
das,Treffen,meeting 
die,Medien,media 
die,Geldpolitik,monetary policy 
die,Ungleichheit,inequality 
die,Falle,trap 
die,Abschwächung,decrease 
die,Erschließung,development 
der,Diebstahl,theft 
die,Annahme,acceptance 
die,Entsendung,sending 
der,Lastwagen,truck 
die,Untersuchung,investigation 
der,Gesetzentwurf,bill 
die,Verweigerung,refusal 
die,Gesetzgebung,legislation 
die,Geisel,hostage 
der,Zivilist,civilian 
die,Anzahl,quantity; number 
die,Schusswaffen,firearms 
das,Gewehr,gun 
die,Einflussnahme,influence 
der,Sklave,slave 
die,Lüge,lie 
der,Wirbelsturm,hurricane 
der,Stromausfall,blackout 
die,Gemeinde,community 
die,Ernte,crop 
das,Haus,house 
die,Sturmbö,squall 
die,Unannehmlichkeit,inconvenience 
der,Schlagstock,bat 
das,Leck,leak 
die,Feuerwehr,fire brigade 
der,Weggefährte,companion 
der,Gewahrsam,custody 
die,Verhaftung,arrest 
der,Aufenthaltsort,whereabouts 
der,Aufenthalt,residence 
der,Angeklagte,the accused 
das,Altenheim,retirement home
die,Leitlinien,guidelines 
der,Rabatt,discount 
der,Nachlass,discount 
der,Wettstreit,competition 
die,Umwelt,environment 
der,Angreifer,attacker 
der,Geländewagen,all-terrain vehicle 
das,Motorrad,motorcycle 
die,Taten,actions 
der,Schütze,shooter 
das,Mitgefühl,compassion; sympathy 
das,Attentat,attempt
der,Vorabend,evening before 
der,Volksentscheid,referendum
der,Bürgerkrieg,civil war 
die,Werft,shipyard 
der,Verwalter,administrator 
die,Vorsichtsmaßnahme,precaution 
der,Anleger,investor 
der,Widerwille,reluctance 
die,Anwendung,use 
das,Nähere,particulars 
der,Schlag,blow 
der,Hersteller,manufacturer 
die,Ausgabe,expense 
die,Veröffentlichung,publication 
das,Blatt,sheet 
die,Auszeichnung,award 
die,Umgebung,surroundings 
der,Hügel,hill 
der,Ermittler,investigator 
der,Erwerb,purchase 
der,Luftverkehr,air traffic 
der,Großteil,majority
die,Fähre,ferry 
die,Seenot,distress at sea 
der,Felsen,rock 
der,Knall,bang 
der,Lärm,noise 
der,Scharfschütze,sniper
die,Besatzung,crew 
der,Ausflug,trip 
das,Scheitern,failure 
der,Ausstieg,exit 
die,Häufigkeit,frequency 
das,Beileid,condolence 
der,Anlauf,attempt 
der,Stichtag,deadline 
der,Siedler,settler 
das,Fass,barrel 
die,Wartungsarbeiten,maintenance 
die,Wirtschaft,economy 
die,Ursache,cause 
der,Keller,basement 
der,Preis,price 
die,Lage,situation 
der,Bestandteil,component 
das,Verständnis,understanding 
die,Macht,power 
die,Enttäuschung,disappointment 
der,Anwohner,resident 
der,Fahrplan,roadmap 
der,Vorfall,incident 
der,Fortschritt,progress 
die,Einladung,invitation 
das,Unterfangen,undertaking 
die,Länge,length 
das,Kapitel,chapter 
der,Atemzug,breath 
die,Begründung,explanation 
der,Sachverhalt,issue 
das,Zeugnis,certificate 
die,Gültigkeit,validity 
die,Auskunft,information 
der,Bezirk,district 
die,Staatsangehörigkeit,citizenship 
das,Mindestalter,minimum age 
die,Teilnahme,participation 
der,Besuch,visit 
die,Fertigkeit,skill 
die,Ergänzung,addendum 
die,Durchführung,implementation 
der,Aufbau,construction 
die,Befugnisse,powers 
die,Befugnis,authority 
der,Nachrichtendienst,intelligence service 
das,Abhören,eavesdropping 
der,Schriftsteller,writer 
die,Einsamkeit,solitude 
die,Erzählung,novella 
die,Lungenentzündung,pneumonia 
die,Kette,chain 
die,Geiselhaft,captivity 
der,Umstand,circumstance 
der,Entführer,kidnapper; hijacker 
die,Besteigung,ascent 
der,Verunglückte/ein,casualty 
die,Einheimische,locals 
der,Unfall,accident 
der,Kummer,misery
die,Trennung,separation 
die,Verpflegung,provisions 
der,Aufstieg,ascent 
die,Leiche,corpse 
der,Rumpf,trunk 
der,Untergang,collapse 
der,Taucher,diver 
das,Osterfest,Easter 
die,Kirche,church 
der,Gläubige/ein,believer 
der,Gläubiger,creditor 
das,Ausland,foreign countries 
das,Gebet,prayer 
die,Aussöhnung,reconciliation 
die,Vorkehrung,precaution 
die,Oberfläche,surface 
die,Verschwendung,waste 
der,Papst,pope 
die,Stufen,steps 
der,Zeitpunkt,time 
die,Berichterstattung,reporting 
die,Auferstehung,resurrection 
die,Segnung,blessing 
die,Speise,food 
der,Kuchen,cake 
das,Ei,egg 
das,Wohlergehen,prosperity; welfare
der,Herr,Lord 
die,Feierlichkeit,festivity
der,Feiertag,holiday 
der,Gesichtszug,feature 
die,Ausstellung,exhibition 
die,Anschaffung,purchase 
der,Abnehmer,customer 
das,Geschäft,business 
die,Luxusmarke,luxury brand
der,Markt,market 
der,Mord,murder 
die,Klarheit,clarity 
die,Ausgangssperre,curfew 
der,Termin,date 
das,Kloster,monastery 
die,Puppe,doll 
die,Ära,era 
der,Schmerz,pain 
die,Schande,shame 
die,Rückkehr,return 
das,Leiden,suffering 
die,Gefangenschaft,captivity 
der,Auftrieb,lift 
der,Inhalt,content 
die,Freilassung,release 
die,Zuversicht,confidence 
die,Zulassung,admission 
der,Zuwachs,increase 
die,Aufstellung,deployment 
die,Zunahme,increase 
der,Käse,cheese 
der,Schauspieler,actor 
die,Verspätung,delay 
die,Unterdrückung,oppression 
die,Vertreibung,expulsion 
die,Halle,hall 
die,Front,front 
das,Zugeständnis,concession 
die,Zuhörer,audience 
der,Aufseher,warden 
der,Schrank,cabinet 
die,Süßigkeit,candy 
die,Reste,remains; remnants 
die,Startbahn,runway 
die,Schleife,loop 
die,Hektik,rush 
die,Verwandte,relatives 
das,Gepäck,luggage 
die,Aufgabe,task 
der,Einsatz,use 
der,Hitzkopf,hothead 
die,Aufständische,rebels 
die,Moschee,mosque 
die,Umweltverschmutzung,pollution 
das,Heilmittel,cure 
der,Verbrauch,consumption 
die,Benachteiligung,disadvantage 
der,Pilger,pilgrim 
die,Duldung,acquiescence; tolerance
die,Anbindung,connection 
die,Verurteilung,sentence 
die,Auflage,condition 
die,Folge,consequence 
die,Schlagzeile,headline 
die,Übernahme,takeover 
der,Anteilseigner,shareholder 
der,Mitstreiter,ally 
die,Fortsetzung,continuation 
der,Verbündete/ein,ally 
der,Irrsinn,insanity 
die,Weigerung,refusal 
der,Schauplatz,location; scene 
das,Viertel,neighbourhood 
der,Auslöser,trigger 
der,Tänzer,dancer 
das,Einlenken,relenting 
der,Machthaber,ruler 
die,Übereinkunft,accordance; agreement 
der,Frieden,peace 
die,Ausreise,departure 
der,Einsturz,collapse 
der,Ortsteil,district 
der,Jahrestag,anniversary 
die,Klamotten,clothes 
die,Belagerung,siege 
die,Willkür,arbitrariness 
die,Versöhnung,reconciliation 
die,Auszählung,count 
der,Film,movie 
das,Abzeichen,emblem; badge 
die,Briefmarke,stamp 
der,Park,park 
die,Annäherung,approach 
die,Angaben,information 
der,Ruf,reputation 
der,Pfad,path 
das,Versprechen,promise 
die,Abschreckung,deterrence 
die,Pflege,care 
das,Tun,action; activity
die,Untätigkeit,inaction 
der,Tritt,step 
die,Tiefe,depth 
der,Drogenhändler,drug dealer 
die,Weltmeisterschaft,World Cup 
der,Krawallmacher,rowdy 
das,Missverständnis,misunderstanding 
die,Faust,fist 
der,Druck,pressure 
das,Boot,boat 
das,Aufkommen,occurrence; emergence 
der,Bauer,peasant 
das,Geschwister,sibling 
die,Begabung,aptitude 
der,Knabe,boy 
das,Mittelalter,Middle Ages 
der,Trost,consolation 
das,Gefängnis,prison 
das,Werk,factory 
der,Eingriff,intervention 
